,Name,Date,Pattern,Closing Price,High after 1 day,High after 2 days,High after 3 days,High after 4 days,High after 5 days,High after 6 days,High after 7 days,High after 8 days,High after 9 days,High after 10 days,High after 15 days,High after 20 days,High after 25 days,High after 30 days,Up/down after 1 day,Up/down after 2 day,Up/down after 3 day,Up/down after 4 day,Up/down after 5 day,Up/down after 6 day,Up/down after 7 day,Up/down after 8 day,Up/down after 9 day,Up/down after 10 day,Up/down after 15 day,Up/down after 20 day,Up/down after 25 day,Up/down after 30 day,% change after 1 days,% change after 2 days,% change after 3 days,% change after 4 days,% change after 5 days,% change after 6 days,% change after 7 days,% change after 8 days,% change after 9 days,% change after 10 days,% change after 15 days,% change after 20 days,% change after 25 days,% change after 30 days
33,Exxon Mobil Corporation,2015-09-08,hammer,73.5,74.68000031,72.98000336,72.72000122,72.58000183,73.30999756,74.69999695,75.47000122,73.55999756,73.61000061,73.51999664,73.19000244,78.55999756,79.55000305,81.05999756,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1.61%,-0.71%,-1.06%,-1.25%,-0.26%,1.63%,2.68%,0.08%,0.15%,0.03%,-0.42%,6.88%,8.23%,10.29%
34,Exxon Mobil Corporation,2016-09-01,hammer,86.83999634,87.58000183,88.63999939,88.66999817,89.37000275,88.66000366,87.70999908,86.47000122,85.83000183,85.65000153,85.05000305,84.30999756,87.80999756,87.40000153,87.54000092,1,1,1,1,1,1,0,0,0,0,0,1,1,1,0.85%,2.07%,2.11%,2.91%,2.10%,1.00%,-0.43%,-1.16%,-1.37%,-2.06%,-2.91%,1.12%,0.65%,0.81%
35,Exxon Mobil Corporation,2017-08-07,hammer,80.16000366,80.22000122,80.34999847,79.77999878,79.25,78.79000092,78.25,78.16999817,77.27999878,77.11000061,76.62000275,76.94000244,77.36000061,79.69000244,80.38999939,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0.08%,0.24%,-0.47%,-1.14%,-1.71%,-2.38%,-2.48%,-3.59%,-3.81%,-4.42%,-4.02%,-3.49%,-0.59%,0.29%
36,Exxon Mobil Corporation,2018-07-30,hammer,81.73999786,82.15000153,80.93000031,80.26000214,80.30000305,80.43000031,81.58999634,81.23000336,80.91000366,79.51999664,79.75,79,80.47000122,80.69000244,83.19000244,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0.50%,-0.99%,-1.81%,-1.76%,-1.60%,-0.18%,-0.62%,-1.02%,-2.72%,-2.44%,-3.35%,-1.55%,-1.29%,1.77%
37,Exxon Mobil Corporation,2019-01-09,hammer,72.41999817,72.08000183,71.88999939,71.77999878,72.36000061,72.37999725,72.33999634,73.29000092,72.70999908,72.30000305,71.97000122,73.48999786,75.19000244,76.65000153,78.94999695,0,0,0,0,0,0,1,1,0,0,1,1,1,1,-0.47%,-0.73%,-0.88%,-0.08%,-0.06%,-0.11%,1.20%,0.40%,-0.17%,-0.62%,1.48%,3.83%,5.84%,9.02%
38,Exxon Mobil Corporation,2021-07-23,hammer,57.04000092,58.65000153,58.00999832,58.63000107,59.33000183,58.88000107,59.06000137,58.40999985,57.88000107,57.70000076,58.06999969,57.06999969,53.13999939,56.20999908,55.31999969,1,1,1,1,1,1,1,1,1,1,1,0,0,0,2.82%,1.70%,2.79%,4.02%,3.23%,3.54%,2.40%,1.47%,1.16%,1.81%,0.05%,-6.84%,-1.46%,-3.02%
39,Exxon Mobil Corporation,2021-07-27,hammer,57.83000183,58.63000107,59.33000183,58.88000107,59.06000137,58.40999985,57.88000107,57.70000076,58.06999969,57.52000046,58.36000061,56.29999924,55.84999847,55.31000137,55.18000031,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1.38%,2.59%,1.82%,2.13%,1.00%,0.09%,-0.23%,0.42%,-0.54%,0.92%,-2.65%,-3.42%,-4.36%,-4.58%
40,Sunpower Corporation,2016-12-06,hammer,4.557957172,5.435493946,5.225933075,5.173542976,5.127700806,4.983627796,4.839554787,4.747871876,4.918139935,5.029469967,5.036017895,4.793713093,4.728225231,5.022921085,4.616896152,1,1,1,1,1,1,1,1,1,1,1,1,1,1,19.25%,14.66%,13.51%,12.50%,9.34%,6.18%,4.17%,7.90%,10.35%,10.49%,5.17%,3.74%,10.20%,1.29%
41,Sunpower Corporation,2017-10-20,hammer,4.374590874,4.616896152,4.682384014,4.577602863,4.44662714,4.708579063,4.898493767,4.813360214,4.780615807,5.605762959,5.664701939,5.776031017,5.415847778,5.49443388,5.193189144,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5.54%,7.04%,4.64%,1.65%,7.64%,11.98%,10.03%,9.28%,28.14%,29.49%,32.04%,23.80%,25.60%,18.71%
42,Sunpower Corporation,2018-02-12,hammer,4.512115002,4.852652073,4.944334984,4.878847122,5.036017895,5.075311184,5.003273964,4.872299194,4.715127945,5.022921085,4.996726036,4.891944885,4.819908142,5.291420937,5.448592186,1,1,1,1,1,1,1,1,1,1,1,1,1,1,7.55%,9.58%,8.13%,11.61%,12.48%,10.89%,7.98%,4.50%,11.32%,10.74%,8.42%,6.82%,17.27%,20.76%
43,Sunpower Corporation,2018-10-12,hammer,4.276359081,4.420432091,4.571053982,4.564506054,4.702030182,4.656188965,4.597249985,4.400785923,4.38768816,4.296004772,4.230516911,4.217420101,4.165029049,4.322199821,4.695480824,1,1,1,1,1,1,1,1,1,0,0,0,1,1,3.37%,6.89%,6.74%,9.95%,8.88%,7.50%,2.91%,2.60%,0.46%,-1.07%,-1.38%,-2.60%,1.07%,9.80%
44,Sunpower Corporation,2019-09-10,hammer,8.04846096,8.349704742,8.415192604,8.218729973,8.670596123,9.698756218,9.67910862,10.19646358,9.914866447,10.09823227,10.13097572,7.256058216,6.843483925,6.358873844,6.705958843,1,1,1,1,1,1,1,1,1,1,0,0,0,0,3.74%,4.56%,2.12%,7.73%,20.50%,20.26%,26.69%,23.19%,25.47%,25.88%,-9.85%,-14.97%,-20.99%,-16.68%
45,Sunpower Corporation,2020-01-02,hammer,5.127700806,5.094956875,4.937787056,5.094956875,5.101506233,5.258677006,5.206286907,5.579567909,5.821873188,5.703995228,5.854617119,6.011787891,5.717092037,6.607728004,5.880812168,0,0,0,0,1,1,1,1,1,1,1,1,1,1,-0.64%,-3.70%,-0.64%,-0.51%,2.55%,1.53%,8.81%,13.54%,11.24%,14.18%,17.24%,11.49%,28.86%,14.69%
